荃灣西約,海安路,荃灣（麗城花園）
荃灣西約,青山公路 – 荃灣段,麗城花園第三期
荃灣西約,青山公路 – 荃灣段,麗城花園第一期
荃灣（柴灣角）,青山公路 – 荃灣段,荃景圍天橋
荃灣市中心,大涌道,大涌道福來邨
荃灣市中心,沙咀道,滿樂大廈
荃灣市中心,大河道,荃灣大河道
荃灣市中心,青山公路 – 荃灣段,荃灣眾安街
大窩口,青山公路 – 荃灣段,大窩口站
大窩口,青山公路 – 葵涌段,昌榮路迴旋處
葵興,葵涌道,葵俊苑
葵興,葵涌道,新葵興花園
葵芳,葵涌道,葵芳邨
葵涌（貨櫃碼頭）,葵涌道,葵涌道荔景邨
荔枝角,長沙灣道,美孚站
長沙灣,長沙灣道,長沙灣長荔街
荔枝角,青山道,饒宗頤文化館
呈祥道,呈祥道,呈祥道
大窩坪,龍翔道,畢架山花園
大窩坪,龍翔道,豐力樓
橫頭磡,龍翔道,天馬苑
黃大仙,龍翔道,龍翔官立中學
黃大仙,龍翔道,黃大仙站（B4）
黃大仙,龍翔道,沙田坳道（A1）
鑽石山,大磡道,鑽石山站
牛池灣,龍翔道,牛池灣村
牛頭角,觀塘道,九龍灣站
牛頭角,觀塘道,牛頭角下邨
牛頭角,觀塘道,觀塘道休憩處
觀塘市中心,觀塘道,牛頭角站（V5）
觀塘市中心,觀塘道,觀塘市中心（T6）
觀塘商貿區,開源道,觀塘開源道
茜草灣（麗港城）,偉業街,觀塘偉樂街
茜草灣（麗港城）,茶果嶺道,麗港中心
茜草灣（麗港城）,茶果嶺道,麗港城商場
茜草灣（麗港城）,Na,麗港城總站
